id,color,color_id,height,image_file,image_height,image_width,index,width,x,y,center_x,center_y,center_x_norm,center_y_norm,longer,shorter,aspect_max_min,aspect,size
87,yellow,yellow,135,B107.json,989,1000,11,265,82,640,214.5,707.5,0.2145,0.7153690596562184,265,135,1.962962962962963,1.962962962962963,35775
88,red,red,135,B107.json,989,1000,12,283,347,640,488.5,707.5,0.4885,0.7153690596562184,283,135,2.096296296296296,2.096296296296296,38205
89,black,black,268,B107.json,989,1000,13,261,630,640,760.5,774.0,0.7605,0.782608695652174,268,261,1.0268199233716475,0.9738805970149254,69948
90,blue,blue,349,B107.json,989,1000,14,109,891,640,945.5,814.5,0.9455,0.8235591506572295,349,109,3.2018348623853212,0.3123209169054441,38041
91,white,white,349,B107.json,989,1000,15,82,0,640,41.0,814.5,0.041,0.8235591506572295,349,82,4.2560975609756095,0.2349570200573066,28618
92,yellow,yellow,133,B107.json,989,1000,16,265,82,775,214.5,841.5,0.2145,0.8508594539939333,265,133,1.9924812030075187,1.9924812030075187,35245
93,red,red,133,B107.json,989,1000,17,283,347,775,488.5,841.5,0.4885,0.8508594539939333,283,133,2.1278195488721803,2.1278195488721803,37639
94,white,white,81,B107.json,989,1000,18,809,82,908,486.5,948.5,0.4865,0.9590495449949444,809,81,9.987654320987655,9.987654320987655,65529
95,red,red,209,B107.json,989,1000,19,265,82,0,214.5,104.5,0.2145,0.10566228513650151,265,209,1.2679425837320575,1.2679425837320575,55385
96,white,white,54,B107.json,989,1000,20,283,347,0,488.5,27.0,0.4885,0.027300303336703743,283,54,5.2407407407407405,5.2407407407407405,15282
97,white,white,54,B107.json,989,1000,21,261,630,0,760.5,27.0,0.7605,0.027300303336703743,261,54,4.833333333333333,4.833333333333333,14094
98,red,red,209,B107.json,989,1000,22,109,891,0,945.5,104.5,0.9455,0.10566228513650151,209,109,1.9174311926605505,0.5215311004784688,22781
99,yellow,yellow,209,B107.json,989,1000,23,82,0,0,41.0,104.5,0.041,0.10566228513650151,209,82,2.548780487804878,0.3923444976076555,17138
100,black,black,95,B108.json,1000,865,0,134,26,35,93.0,82.5,0.10751445086705202,0.0825,134,95,1.4105263157894736,1.4105263157894736,12730
101,white,white,95,B108.json,1000,865,1,312,160,35,316.0,82.5,0.3653179190751445,0.0825,312,95,3.2842105263157895,3.2842105263157895,29640
102,white,white,95,B108.json,1000,865,2,283,472,35,613.5,82.5,0.7092485549132947,0.0825,283,95,2.9789473684210526,2.9789473684210526,26885
103,white,white,245,B108.json,1000,865,3,110,755,35,810.0,157.5,0.9364161849710982,0.1575,245,110,2.227272727272727,0.4489795918367347,26950
104,yellow,yellow,150,B108.json,1000,865,4,100,160,130,210.0,205.0,0.24277456647398843,0.205,150,100,1.5,0.6666666666666666,15000
105,yellow,yellow,150,B108.json,1000,865,5,212,260,130,366.0,205.0,0.423121387283237,0.205,212,150,1.4133333333333333,1.4133333333333333,31800
106,white,white,150,B108.json,1000,865,6,283,472,130,613.5,205.0,0.7092485549132947,0.205,283,150,1.8866666666666667,1.8866666666666667,42450
107,white,white,365,B108.json,1000,865,7,160,0,130,80.0,312.5,0.09248554913294797,0.3125,365,160,2.28125,0.4383561643835616,58400
108,yellow,yellow,215,B108.json,1000,865,8,100,160,280,210.0,387.5,0.24277456647398843,0.3875,215,100,2.15,0.46511627906976744,21500
109,yellow,yellow,392,B108.json,1000,865,9,212,260,280,366.0,476.0,0.423121387283237,0.476,392,212,1.849056603773585,0.5408163265306123,83104
110,red,red,392,B108.json,1000,865,10,283,472,280,613.5,476.0,0.7092485549132947,0.476,392,283,1.3851590106007068,0.7219387755102041,110936
111,blue,blue,392,B108.json,1000,865,11,110,755,280,810.0,476.0,0.9364161849710982,0.476,392,110,3.5636363636363635,0.28061224489795916,43120
112,yellow,yellow,177,B108.json,1000,865,12,100,160,495,210.0,583.5,0.24277456647398843,0.5835,177,100,1.77,0.5649717514124294,17700
113,blue,blue,302,B108.json,1000,865,13,160,0,495,80.0,646.0,0.09248554913294797,0.646,302,160,1.8875,0.5298013245033113,48320
114,black,black,125,B108.json,1000,865,14,312,160,672,316.0,734.5,0.3653179190751445,0.7345,312,125,2.496,2.496,39000
115,white,white,125,B108.json,1000,865,15,283,472,672,613.5,734.5,0.7092485549132947,0.7345,283,125,2.264,2.264,35375
116,red,red,294,B108.json,1000,865,16,110,755,672,810.0,819.0,0.9364161849710982,0.819,294,110,2.672727272727273,0.3741496598639456,32340
117,white,white,169,B108.json,1000,865,17,312,160,797,316.0,881.5,0.3653179190751445,0.8815,312,169,1.8461538461538463,1.8461538461538463,52728
118,yellow,yellow,169,B108.json,1000,865,18,283,472,797,613.5,881.5,0.7092485549132947,0.8815,283,169,1.6745562130177514,1.6745562130177514,47827
119,white,white,203,B108.json,1000,865,19,160,0,797,80.0,898.5,0.09248554913294797,0.8985,203,160,1.26875,0.7881773399014779,32480
120,white,white,34,B108.json,1000,865,20,595,160,966,457.5,983.0,0.5289017341040463,0.983,595,34,17.5,17.5,20230
121,white,white,34,B108.json,1000,865,21,110,755,966,810.0,983.0,0.9364161849710982,0.983,110,34,3.235294117647059,3.235294117647059,3740
122,white,white,35,B108.json,1000,865,22,446,26,0,249.0,17.5,0.2878612716763006,0.0175,446,35,12.742857142857142,12.742857142857142,15610
123,yellow,yellow,35,B108.json,1000,865,23,393,472,0,668.5,17.5,0.7728323699421965,0.0175,393,35,11.228571428571428,11.228571428571428,13755
124,blue,blue,130,B108.json,1000,865,24,26,0,0,13.0,65.0,0.015028901734104046,0.065,130,26,5.0,0.2,3380
125,blue,blue,320,B109.json,1000,896,0,95,9,114,56.5,274.0,0.06305803571428571,0.274,320,95,3.3684210526315788,0.296875,30400
126,red,red,320,B109.json,1000,896,1,338,104,114,273.0,274.0,0.3046875,0.274,338,320,1.05625,1.05625,108160
127,blue,blue,139,B109.json,1000,896,2,236,442,114,560.0,183.5,0.625,0.1835,236,139,1.6978417266187051,1.6978417266187051,32804
128,white,white,139,B109.json,1000,896,3,115,678,114,735.5,183.5,0.8208705357142857,0.1835,139,115,1.208695652173913,0.8273381294964028,15985
129,white,white,139,B109.json,1000,896,4,103,793,114,844.5,183.5,0.9425223214285714,0.1835,139,103,1.3495145631067962,0.7410071942446043,14317
130,white,white,640,B109.json,1000,896,5,9,0,114,4.5,434.0,0.005022321428571429,0.434,640,9,71.11111111111111,0.0140625,5760
131,yellow,yellow,501,B109.json,1000,896,6,236,442,253,560.0,503.5,0.625,0.5035,501,236,2.1228813559322033,0.47105788423153694,118236
132,white,white,371,B109.json,1000,896,7,218,678,253,787.0,438.5,0.8783482142857143,0.4385,371,218,1.701834862385321,0.5876010781671159,80878
133,white,white,320,B109.json,1000,896,8,95,9,434,56.5,594.0,0.06305803571428571,0.594,320,95,3.3684210526315788,0.296875,30400
134,red,red,320,B109.json,1000,896,9,338,104,434,273.0,594.0,0.3046875,0.594,338,320,1.05625,1.05625,108160
135,red,red,130,B109.json,1000,896,10,112,678,624,734.0,689.0,0.8191964285714286,0.689,130,112,1.1607142857142858,0.8615384615384616,14560
136,white,white,130,B109.json,1000,896,11,106,790,624,843.0,689.0,0.9408482142857143,0.689,130,106,1.2264150943396226,0.8153846153846154,13780
137,white,white,203,B109.json,1000,896,12,338,104,754,273.0,855.5,0.3046875,0.8555,338,203,1.6650246305418719,1.6650246305418719,68614
138,black,black,203,B109.json,1000,896,13,348,442,754,616.0,855.5,0.6875,0.8555,348,203,1.7142857142857142,1.7142857142857142,70644
139,white,white,246,B109.json,1000,896,14,106,790,754,843.0,877.0,0.9408482142857143,0.877,246,106,2.3207547169811322,0.43089430894308944,26076
140,yellow,yellow,246,B109.json,1000,896,15,104,0,754,52.0,877.0,0.05803571428571429,0.877,246,104,2.3653846153846154,0.42276422764227645,25584
141,white,white,43,B109.json,1000,896,16,686,104,957,447.0,978.5,0.49888392857142855,0.9785,686,43,15.953488372093023,15.953488372093023,29498
142,white,white,114,B109.json,1000,896,17,236,442,0,560.0,57.0,0.625,0.057,236,114,2.0701754385964914,2.0701754385964914,26904
143,black,black,114,B109.json,1000,896,18,218,678,0,787.0,57.0,0.8783482142857143,0.057,218,114,1.912280701754386,1.912280701754386,24852
144,yellow,yellow,114,B109.json,1000,896,19,442,0,0,221.0,57.0,0.24665178571428573,0.057,442,114,3.8771929824561404,3.8771929824561404,50388
145,black,black,226,B114.json,860,1000,0,161,693,48,773.5,161.0,0.7735,0.1872093023255814,226,161,1.4037267080745341,0.7123893805309734,36386
146,white,white,496,B114.json,860,1000,1,146,854,48,927.0,296.0,0.927,0.34418604651162793,496,146,3.3972602739726026,0.29435483870967744,72416
147,black,black,387,B114.json,860,1000,2,197,111,157,209.5,350.5,0.2095,0.40755813953488373,387,197,1.9644670050761421,0.5090439276485789,76239
148,white,white,387,B114.json,860,1000,3,385,308,157,500.5,350.5,0.5005,0.40755813953488373,387,385,1.0051948051948052,0.9948320413436692,148995
149,red,red,606,B114.json,860,1000,4,111,0,157,55.5,460.0,0.0555,0.5348837209302325,606,111,5.45945945945946,0.18316831683168316,67266
150,yellow,yellow,270,B114.json,860,1000,5,161,693,274,773.5,409.0,0.7735,0.4755813953488372,270,161,1.6770186335403727,0.5962962962962963,43470
151,white,white,219,B114.json,860,1000,6,197,111,544,209.5,653.5,0.2095,0.7598837209302326,219,197,1.1116751269035532,0.8995433789954338,43143
152,blue,blue,219,B114.json,860,1000,7,385,308,544,500.5,653.5,0.5005,0.7598837209302326,385,219,1.7579908675799087,1.7579908675799087,84315
153,white,white,111,B114.json,860,1000,8,161,693,544,773.5,599.5,0.7735,0.6970930232558139,161,111,1.4504504504504505,1.4504504504504505,17871
154,white,white,219,B114.json,860,1000,9,146,854,544,927.0,653.5,0.927,0.7598837209302326,219,146,1.5,0.6666666666666666,31974
155,white,white,108,B114.json,860,1000,10,161,693,655,773.5,709.0,0.7735,0.8244186046511628,161,108,1.4907407407407407,1.4907407407407407,17388
156,white,white,97,B114.json,860,1000,11,197,111,763,209.5,811.5,0.2095,0.9436046511627907,197,97,2.0309278350515463,2.0309278350515463,19109
157,white,white,97,B114.json,860,1000,12,692,308,763,654.0,811.5,0.654,0.9436046511627907,692,97,7.134020618556701,7.134020618556701,67124
158,white,white,97,B114.json,860,1000,13,111,0,763,55.5,811.5,0.0555,0.9436046511627907,111,97,1.1443298969072164,1.1443298969072164,10767
159,white,white,157,B114.json,860,1000,14,197,111,0,209.5,78.5,0.2095,0.09127906976744186,197,157,1.2547770700636942,1.2547770700636942,30929
160,yellow,yellow,157,B114.json,860,1000,15,385,308,0,500.5,78.5,0.5005,0.09127906976744186,385,157,2.4522292993630574,2.4522292993630574,60445
161,white,white,48,B114.json,860,1000,16,307,693,0,846.5,24.0,0.8465,0.027906976744186046,307,48,6.395833333333333,6.395833333333333,14736
162,white,white,157,B114.json,860,1000,17,111,0,0,55.5,78.5,0.0555,0.09127906976744186,157,111,1.4144144144144144,0.7070063694267515,17427
163,black,black,164,B115.json,966,589,0,324,50,35,212.0,117.0,0.3599320882852292,0.12111801242236025,324,164,1.975609756097561,1.975609756097561,53136
164,white,white,371,B115.json,966,589,1,147,50,199,123.5,384.5,0.20967741935483872,0.39803312629399584,371,147,2.5238095238095237,0.39622641509433965,54537
165,white,white,258,B115.json,966,589,2,177,197,199,285.5,328.0,0.4847198641765705,0.33954451345755693,258,177,1.4576271186440677,0.686046511627907,45666
166,white,white,258,B115.json,966,589,3,110,374,199,429.0,328.0,0.7283531409168081,0.33954451345755693,258,110,2.3454545454545452,0.4263565891472868,28380
167,white,white,258,B115.json,966,589,4,105,484,199,536.5,328.0,0.9108658743633277,0.33954451345755693,258,105,2.4571428571428573,0.4069767441860465,27090
168,red,red,371,B115.json,966,589,5,50,0,199,25.0,384.5,0.042444821731748725,0.39803312629399584,371,50,7.42,0.1347708894878706,18550
169,white,white,113,B115.json,966,589,6,287,197,457,340.5,513.5,0.5780984719864176,0.5315734989648033,287,113,2.5398230088495577,2.5398230088495577,32431
170,yellow,yellow,337,B115.json,966,589,7,105,484,457,536.5,625.5,0.9108658743633277,0.6475155279503105,337,105,3.2095238095238097,0.3115727002967359,35385
171,white,white,196,B115.json,966,589,8,147,50,570,123.5,668.0,0.20967741935483872,0.6915113871635611,196,147,1.3333333333333333,0.75,28812
172,white,white,196,B115.json,966,589,9,287,197,570,340.5,668.0,0.5780984719864176,0.6915113871635611,287,196,1.4642857142857142,1.4642857142857142,56252
173,white,white,339,B115.json,966,589,10,50,0,570,25.0,739.5,0.042444821731748725,0.765527950310559,339,50,6.78,0.14749262536873156,16950
174,blue,blue,143,B115.json,966,589,11,147,50,766,123.5,837.5,0.20967741935483872,0.8669772256728778,147,143,1.027972027972028,1.027972027972028,21021
175,white,white,177,B115.json,966,589,12,287,197,766,340.5,854.5,0.5780984719864176,0.884575569358178,287,177,1.6214689265536724,1.6214689265536724,50799
176,black,black,172,B115.json,966,589,13,105,484,794,536.5,880.0,0.9108658743633277,0.9109730848861284,172,105,1.638095238095238,0.6104651162790697,18060
177,white,white,57,B115.json,966,589,14,197,0,909,98.5,937.5,0.16723259762308998,0.9704968944099379,197,57,3.456140350877193,3.456140350877193,11229
178,white,white,23,B115.json,966,589,15,287,197,943,340.5,954.5,0.5780984719864176,0.9880952380952381,287,23,12.478260869565217,12.478260869565217,6601
179,white,white,35,B115.json,966,589,16,324,50,0,212.0,17.5,0.3599320882852292,0.018115942028985508,324,35,9.257142857142858,9.257142857142858,11340
180,white,white,199,B115.json,966,589,17,215,374,0,481.5,99.5,0.8174872665534805,0.10300207039337474,215,199,1.0804020100502512,1.0804020100502512,42785
181,red,red,199,B115.json,966,589,18,50,0,0,25.0,99.5,0.042444821731748725,0.10300207039337474,199,50,3.98,0.25125628140703515,9950
182,white,white,163,B116.json,1000,821,0,370,92,28,277.0,109.5,0.3373934226552984,0.1095,370,163,2.2699386503067487,2.2699386503067487,60310
183,black,black,163,B116.json,1000,821,1,92,0,28,46.0,109.5,0.05602923264311815,0.1095,163,92,1.7717391304347827,0.5644171779141104,14996
184,black,black,179,B116.json,1000,821,2,316,462,49,620.0,138.5,0.7551766138855055,0.1385,316,179,1.76536312849162,1.76536312849162,56564
185,white,white,801,B116.json,1000,821,3,43,778,49,799.5,449.5,0.9738124238733252,0.4495,801,43,18.627906976744185,0.05368289637952559,34443
186,white,white,150,B116.json,1000,821,4,201,92,191,192.5,266.0,0.23447015834348356,0.266,201,150,1.34,1.34,30150
187,white,white,150,B116.json,1000,821,5,169,293,191,377.5,266.0,0.4598051157125457,0.266,169,150,1.1266666666666667,1.1266666666666667,25350
188,blue,blue,150,B116.json,1000,821,6,92,0,191,46.0,266.0,0.05602923264311815,0.266,150,92,1.6304347826086956,0.6133333333333333,13800
